
code	|	name	|	preferred name	|	lineage
1	|	Acinetobacter brisouii	|	 	|	396323 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter calcoaceticus	|	 	|	471 909768 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter celticus	|	 	|	1891224 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter defluvii	|	 	|	1871111 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter equi	|	 	|	1324350 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter gerneri	|	 	|	202952 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter guillouiae	|	 	|	106649 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter gyllenbergii	|	 	|	134534 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter haemolyticus	|	 	|	29430 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter harbinensis	|	 	|	1353941 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter indicus	|	 	|	756892 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter johnsonii	|	 	|	40214 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter junii	|	 	|	40215 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter kookii	|	 	|	1226327 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter lactucae	|	 	|	1785128 909768 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter larvae	|	 	|	1789224 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter lwoffii	|	 	|	28090 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter marinus	|	 	|	281375 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter nectaris	|	 	|	1219382 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter nosocomialis	|	 	|	106654 909768 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter oleivorans	|	 	|	1148157 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter parvus	|	 	|	134533 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter pittii	|	 	|	48296 909768 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter populi	|	 	|	1582270 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter proteolyticus	|	 	|	1776741 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter qingfengensis	|	 	|	1262585 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter radioresistens	|	 	|	40216 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter rudis	|	 	|	632955 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter schindleri	|	 	|	108981 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter soli	|	 	|	487316 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter tandoii	|	 	|	202954 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter towneri	|	 	|	202956 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter ursingii	|	 	|	108980 469 468 72274 1236 1224 2 131567 
1	|	Actibacterium atlanticum	|	 	|	1461693 1433986 31989 204455 28211 1224 2 131567 
1	|	Actibacterium mucosum	|	 	|	1087332 1433986 31989 204455 28211 1224 2 131567 
1	|	Actinoalloteichus cyanogriseus	|	 	|	65497 65496 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinoalloteichus hoggarensis	|	 	|	1470176 65496 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinoalloteichus hymeniacidonis	|	 	|	340345 65496 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinobacillus capsulatus	|	 	|	717 713 712 135625 1236 1224 2 131567 
1	|	Actinobacillus equuli	|	 	|	718 713 712 135625 1236 1224 2 131567 
1	|	Actinobacillus pleuropneumoniae	|	 	|	715 713 712 135625 1236 1224 2 131567 
1	|	Actinobacillus succinogenes	|	 	|	67854 713 712 135625 1236 1224 2 131567 
1	|	Actinobacillus suis	|	 	|	716 713 712 135625 1236 1224 2 131567 
1	|	Actinobacillus ureae	|	 	|	723 713 712 135625 1236 1224 2 131567 
1	|	Actinobaculum massiliense	|	 	|	202789 76833 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinobaculum suis	|	 	|	1657 76833 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinocatenispora sera	|	 	|	390989 390988 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinokineospora bangkokensis	|	 	|	1193682 39845 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinokineospora enzanensis	|	 	|	155975 39845 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinokineospora inagensis	|	 	|	103730 39845 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinokineospora spheciospongiae	|	 	|	909613 39845 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinokineospora terrae	|	 	|	155974 39845 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinomadura atramentaria	|	 	|	1990 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura chibensis	|	 	|	392828 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura flavalba	|	 	|	1120938 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura formosensis	|	 	|	60706 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura hibisca	|	 	|	68565 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura kijaniata	|	 	|	46161 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura latina	|	 	|	163603 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura macra	|	 	|	46164 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura madurae	|	 	|	1993 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura mexicana	|	 	|	134959 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura meyerae	|	 	|	240840 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura oligospora	|	 	|	111804 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura rifamycini	|	 	|	31962 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomadura rubrobrunea	|	 	|	115335 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	Actinomyces coleocanis	|	Gleimia coleocanis	|	103618 2692113 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces dentalis	|	 	|	272548 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces denticolens	|	 	|	52767 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces europaeus	|	Gleimia europaea	|	66228 2692113 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces gerencseriae	|	 	|	52769 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces glycerinitolerans	|	 	|	1892869 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces graevenitzii	|	 	|	55565 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces hongkongensis	|	Pauljensenia hongkongensis	|	178339 2740557 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces hordeovulneris	|	Buchananella hordeovulneris	|	52770 2767323 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces israelii	|	 	|	1659 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces johnsonii	|	 	|	544581 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces liubingyangii	|	Boudabousia liubingyangii	|	1921764 2767318 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces marimammalium	|	Boudabousia marimammalium	|	156892 2767318 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces massiliensis	|	 	|	461393 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces naeslundii	|	 	|	1655 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces nasicola	|	Bowdeniella nasicola	|	208480 2767322 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces neuii	|	Winkia neuii	|	33007 2692118 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces oris	|	 	|	544580 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces polynesiensis	|	 	|	1325934 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces provencensis	|	 	|	1720198 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces radicidentis	|	 	|	111015 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces ruminicola	|	 	|	332524 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces slackii	|	 	|	52774 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces timonensis	|	 	|	1288391 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces urinae	|	 	|	1689268 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces urogenitalis	|	 	|	103621 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces viscosus	|	 	|	1656 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomyces vulturis	|	 	|	1857645 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinomycetospora chiangmaiensis	|	 	|	402650 402649 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinophytocola xanthii	|	 	|	1912961 695999 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinophytocola xinjiangensis	|	 	|	485602 695999 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinoplanes awajinensis	|	 	|	135946 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes derwentensis	|	 	|	113562 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes friuliensis	|	 	|	196914 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes globisporus	|	 	|	113565 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes missouriensis	|	 	|	1866 1865 28056 85008 1760 201174 1783272 2 131567 
